,0
1466,6740
1467,9680
1468,5864
1469,7900
1470,16732
1471,16268
1472,7488
1473,7096
1474,4528
1475,13748
1476,12568
1477,5244
1478,5964
1479,14132
1480,7492
1481,8768
1482,8432
1483,16964
1484,15988
1485,17616
1486,16024
1487,23480
1488,14908
1489,29016
1490,10840
1491,13236
1492,17864
1493,31644
1494,33204
1495,9776
1496,6664
1497,7364
1498,9092
1499,15796
1500,20412
1501,32920
1502,18040
1503,16520
1504,33292
1505,7236
1506,5664
1507,15336
1508,7252
1509,16688
1510,8076
1511,16404
1512,26304
1513,25724
1514,14260
1515,18836
1516,12428
1517,14872
1518,8088
1519,14348
1520,9192
1521,14220
1522,15580
1523,13840
1524,7292
1525,16172
1526,26936
1527,2960
1528,10884
1529,18692
1530,36140
1531,11384
1532,3204
1533,12196
1534,18584
1535,18180
1536,12328
1537,14792
1538,7600
1539,20280
1540,14980
1541,6224
1542,7308
1543,12264
1544,21608
1545,31536
1546,3392
1547,24524
1548,17736
1549,14508
1550,9536
1551,27348
1552,6224
1553,25636
1554,3844
1555,8064
1556,16452
1557,15436
1558,16064
1559,3276
1560,16288
1561,4408
1562,16808
1563,17896
1564,12452
1565,14172
1566,23820
1567,10760
1568,16432
1569,14496
1570,3620
1571,29632
1572,26172
1573,15968
1574,6452
1575,17172
1576,9292
1577,2524
1578,8848
1579,6820
1580,10608
1581,18180
1582,8896
1583,15080
1584,27616
1585,19792
1586,25420
1587,6512
1588,14104
1589,8052
1590,16340
1591,7056
1592,16624
1593,12548
1594,17992
1595,12860
1596,13868
1597,36600
1598,9148
1599,8116
1600,12520
1601,12084
1602,9744
1603,6492
1604,2624
1605,8524
1606,7696
1607,12792
1608,15300
1609,16284
1610,29228
1611,16360
1612,26664
1613,30716
1614,15440
1615,14060
1616,14520
1617,7808
1618,18416
1619,7596
1620,30868
1621,36716
1622,1948
1623,6800
1624,8080
1625,21164
1626,20840
1627,17036
1628,17640
1629,12344
1630,6504
1631,18008
1632,5560
1633,5524
1634,9108
1635,18888
1636,10124
1637,7360
1638,9316
1639,31216
1640,5340
1641,4976
1642,27680
1643,7744
1644,7496
1645,13540
1646,8064
1647,7056
1648,14744
1649,8488
1650,19680
1651,31904
1652,16228
1653,13232
1654,13424
1655,8364
1656,14376
1657,14240
1658,7184
1659,6760
1660,17036
1661,17536
1662,16736
1663,22040
1664,17656
1665,7704
1666,10880
1667,32256
1668,17560
1669,17428
1670,18420
1671,18056
1672,16972
1673,16444
1674,14552
1675,3860
1676,17028
1677,16476
1678,6980
1679,30820
1680,15652
1681,12276
1682,13072
1683,13324
1684,11300
1685,17376
1686,16064
1687,13536
1688,13008
1689,7368
1690,15724
1691,8916
1692,3776
1693,6104
1694,5624
1695,13956
1696,9152
1697,30604
1698,15688
1699,7608
1700,20576
1701,12844
1702,12112
1703,17908
1704,12236
1705,12448
1706,16512
1707,15268
1708,9848
1709,14720
1710,16916
1711,13044
1712,14584
1713,15488
1714,25772
1715,25684
1716,33792
1717,20120
1718,17160
1719,23296
1720,7200
1721,25296
1722,18180
1723,31600
1724,9128
1725,11708
1726,17572
1727,9020
1728,8188
1729,26196
1730,16500
1731,14808
1732,27548
1733,17716
1734,7688
1735,25480
1736,16216
1737,30680
1738,14844
1739,16116
1740,16164
1741,14264
1742,16232
1743,3360
1744,13548
1745,16280
1746,24100
1747,5324
1748,11204
1749,5720
1750,32192
1751,22052
1752,21580
1753,28060
1754,29868
1755,7600
1756,12420
1757,19600
1758,27560
1759,26200
1760,14208
1761,14328
1762,7376
1763,11960
1764,19500
1765,17180
1766,18352
1767,12376
1768,12032
1769,15308
1770,29204
1771,10612
1772,14672
1773,14000
1774,30232
1775,10400
1776,8068
1777,16560
1778,7260
1779,17084
1780,15112
1781,27876
1782,15736
1783,28576
1784,8536
1785,28116
1786,16416
1787,3864
1788,15904
1789,7424
1790,9676
1791,12660
1792,10000
1793,17200
1794,50324
1795,12448
1796,12296
1797,6028
1798,16208
1799,15812
1800,19520
1801,27200
1802,16004
1803,14436
1804,11448
1805,15060
1806,16560
1807,20744
1808,28868
1809,16328
1810,13696
1811,14756
1812,14864
1813,4804
1814,19408
1815,17032
1816,9312
1817,14788
1818,16932
1819,16240
1820,15452
1821,6160
1822,9744
1823,33340
1824,23632
1825,7892
1826,11976
1827,15964
1828,13628
1829,10520
1830,6532
1831,7724
1832,11180
1833,8728
1834,16428
1835,16000
1836,18948
1837,27228
1838,24468
1839,13148
1840,4212
1841,12064
1842,30276
1843,7828
1844,25832
1845,7364
1846,27448
