,0
2468,512
2469,512
2470,1024
2471,1024
2472,512
2473,1024
2474,1024
2475,256
2476,1024
2477,2048
2478,1024
2479,2048
2480,512
2481,1024
2482,1024
2483,512
2484,256
2485,256
2486,512
2487,1024
2488,512
2489,1024
2490,512
2491,2048
2492,512
2493,1024
2494,2048
2495,2048
2496,1024
2497,512
2498,2048
2499,1024
2500,512
2501,1024
2502,1024
2503,1024
2504,1024
2505,512
2506,512
2507,512
2508,1024
2509,1024
2510,512
2511,512
2512,512
2513,1024
2514,1024
2515,1024
2516,512
2517,512
2518,2048
2519,1024
2520,1024
2521,512
2522,1024
2523,512
2524,512
2525,2048
2526,512
2527,1024
2528,1024
2529,2048
2530,512
2531,512
2532,512
2533,1024
2534,1024
2535,1024
2536,1024
2537,1024
2538,1024
2539,512
2540,1024
2541,1024
2542,1024
2543,512
2544,1024
2545,512
2546,1024
2547,2048
2548,2048
2549,512
2550,1024
2551,512
2552,1024
2553,2048
2554,1024
2555,1024
2556,512
2557,1024
2558,512
2559,256
2560,512
2561,512
2562,1024
2563,1024
2564,1024
2565,1024
2566,1024
2567,1024
2568,1024
2569,512
2570,2048
2571,2048
2572,256
2573,2048
2574,1024
2575,1024
2576,2048
2577,256
2578,1024
2579,512
2580,1024
2581,1024
2582,1024
2583,2048
2584,2048
2585,512
2586,1024
2587,1024
2588,1024
2589,256
2590,512
2591,512
2592,512
2593,512
2594,1024
2595,512
2596,1024
2597,512
2598,2048
2599,512
2600,1024
2601,512
2602,512
2603,1024
2604,1024
2605,1024
2606,512
2607,1024
2608,256
2609,512
2610,1024
2611,1024
2612,512
2613,1024
2614,512
2615,1024
2616,1024
2617,1024
2618,1024
2619,1024
2620,1024
2621,256
2622,1024
2623,256
2624,2048
2625,2048
2626,512
2627,512
2628,1024
2629,512
2630,1024
2631,1024
2632,2048
2633,1024
2634,1024
2635,1024
2636,2048
2637,2048
2638,1024
2639,512
2640,2048
2641,256
2642,512
2643,1024
2644,2048
2645,1024
2646,512
2647,1024
2648,1024
2649,1024
2650,512
2651,1024
2652,1024
2653,1024
2654,512
2655,1024
2656,512
2657,1024
2658,2048
2659,1024
2660,512
2661,1024
2662,1024
2663,1024
2664,256
2665,2048
2666,1024
2667,1024
2668,1024
2669,2048
2670,512
2671,1024
2672,2048
2673,1024
2674,1024
2675,1024
2676,2048
2677,2048
2678,1024
2679,512
2680,1024
2681,2048
